"","IN","TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
"37",156,2.74193316161383,6.4,0.29,0.18,3,0.04,21,-102,0.99736,4.39,1.42,9.2,1,7,1
"38",157,4.29721070577568,6.9,-2.34,1.33,-28.4,0.039,-30,98,1.01251,4.64,0.46,9.2,-1,7,3
"39",174,1.72872816320732,5.6,0.12,0.24,4.8,-0.465,24,72,1.024,3.23,3.32,12.6,-1,6,0
"40",186,1.77520056282595,7.9,-0.42,-1.2,1.6,0.582,201,-205,0.95684,4.2,0.69,11.2,1,9,0
"41",193,2.13031601211975,6.8,1.19,0.98,1.2,0.034,6,68,1.02652,3.14,0.37,16.8,-1,7,1
"42",195,1.66921573007773,1.2,0.3,0.21,-27.85,0.047,33,153,0.99244,3.96,1.06,10.4,0,8,0
"43",212,1.51031842200543,8.4,0.725,0.11,1.9,-0.296,35,63,0.9965,3.19,2.05,9.6,0,9,0
"44",213,1.49878689652215,8,1.2,-0.26,12.6,-0.351,-98,213,0.97841,3.66,0.56,9.3,0,9,0
"45",217,2.39252177496651,6.8,1.36,0.3,20.7,0.043,-263,124,1.03284,3.17,0.46,24.4,0,7,1
"46",223,3.75762073386324,14.3,0.32,0.25,-2.3,0.013,13,349,0.9957,4.65,-1.19,12.2,0,6,2
"47",226,2.55988818423599,6.6,0.82,0.24,23.8,0.048,55,347,0.97506,3.2,0.38,15.2,0,7,1
"48",228,4.28666301260521,-4,0.16,0.27,44.4,0.607,227,98,1.03142,2.24,0.34,7.9,1,6,2
"49",230,4.31367899783956,28.3,0.645,0.03,-7.9,0.086,195,39,0.9969,2.93,-0.53,11.6,0,8,3
"50",241,2.06944451539357,4.7,0.98,0.35,24.7,0.235,11,-9,0.9926,2.19,0.38,12.4,0,9,1
"51",243,3.35162121101242,5.8,0.21,0.25,-50.5,0.038,-33,-135,0.96472,3.28,0.49,9.4,0,7,2
"52",249,1.66381108251601,8.9,0.33,-0.5,61.55,0.038,-234,138,0.96369,3.03,0.09,10.4,0,8,0
"53",281,4.19675477069365,10.6,-1.02,-0.61,1.1,-0.422,-25,107,0.9923,2.45,-0.34,10.2,0,9,3
"54",288,1.1776147282182,10.9,1.2,1.22,27.9,0.12,207,17,1.0002,4.2,-1.31,11.7,0,12,0
"55",294,1.61532347036693,8.8,0.2,-0.59,92.4,0.053,167,214,1.026,3.21,0.79,8.8,-2,9,1
"56",295,1.90373414748606,6.3,1.15,0.24,91.4,0.052,36,135,0.99374,2.52,-1.13,10.4,-2,7,1
"57",300,4.6330340355435,6.5,0.62,1.82,8,-0.179,30,431,0.97319,2.68,0.47,7.4,2,7,2
"58",302,3.51407767496073,9.3,0.31,0.31,59.8,0.379,15,89,0.9976,2.48,0.57,6.3,1,8,2
"59",303,1.91713245242556,0.3,-0.87,-0.8,69.5,0.54,170,83,0.98867,3.09,-0.44,11.7,0,7,0
"60",308,1.65608323399129,6,0.25,0.28,-37.7,-0.468,37,132,0.99489,4.01,-1.96,9.4,-1,7,0
"61",319,4.40616810944345,9,0.35,1.5,51.9,0.252,282,124,0.9912,3.35,-0.31,11.63333333,1,6,2
"62",320,1.5981448220121,8.7,0.31,0.27,5.6,-0.331,91,124,0.96927,3.65,0.52,13.3,0,9,0
"63",324,2.44208881929789,-0.1,0.32,0.37,1.8,-0.286,13,-184,0.9945,4.55,0.5,10.5,0,7,1
"64",331,2.26957360691286,6.6,0.24,0.35,-13.7,0.031,36,135,0.9938,3.24,-1.81,14.5,-1,7,1
"65",343,2.37919149807555,7.2,0.21,1.15,25.4,0.043,186,213,0.98368,3.21,0.5,9.6,0,8,1
"66",347,2.05264629000633,7.4,-1.14,0.62,6,0.022,40,125,0.9928,3.13,2.31,5.2,-1,8,1
"67",348,3.47944645054601,10.6,0.34,0.35,3.6,-0.657,-229,179,0.998,2.87,-2.56,8.3,0,7,2
"68",350,3.83033854334842,4.6,0.24,-0.66,1.3,0.043,71,462,0.95428,3.19,-1.32,14.7,1,8,2
"69",357,1.3136674855639,3.9,0.53,1.21,2,0.058,243,-144,1.01599,3.21,-0.86,12.4,-2,8,0
"70",358,3.19428266933977,16,0.43,0.34,3.6,0.068,-166,104,1.0247,3.19,2.03,9.3,0,7,2
"71",360,4.89229279701814,15.8,0.86,0.38,41,0.625,30,132,0.98895,3.28,-0.07,12.4,0,6,3
"72",366,2.94954349390313,-14.7,-0.42,0.31,22.3,0.035,-201,99,0.98914,3.26,-1.28,10.4,1,7,1
"73",367,2.18529235667837,13.6,0.56,0.93,10,0.037,38,379,0.99642,4.53,0.35,15.7,-1,7,1
"74",368,5.22545945663618,6.7,0.41,0.15,41.1,0.033,25,-30,0.94975,3.05,-0.4,0.1,1,7,3
"75",376,1.84647658500372,0.5,0.98,0.53,2.1,-0.487,152,-149,1.01881,2.19,-0.8,6.3,-1,9,1
"76",380,2.82614750449396,5.8,-0.49,1.78,62.3,0.044,-208,152,0.9961,3.31,-2.01,9.4,0,6,1
"77",388,0.936296145397507,2.8,0.46,0.44,-66,0.052,4,8,1.05282,3.33,1.67,6.9,-2,11,0
"78",396,3.78364347174911,12.5,0.43,1.78,3.6,0.047,7,45,0.96801,3.57,0.79,6.4,1,7,2
"79",398,6.15959165607763,7.4,0.18,0.29,52.2,-0.171,260,366,0.96443,3.54,0.6,10.5,0,8,4
"80",403,4.28632481962993,7.1,-0.49,-1,46.7,0.033,16,78,0.993,2.91,0.5,5.4,0,8,3
"81",410,1.84665231438516,3,-1.52,0.46,29.2,0.05,5,13,0.9974,4.32,0.79,10.2,0,11,1
"82",412,2.16295210191028,8.1,0.24,1.86,11,0.043,41,586,0.98863,3.21,-1.38,10,2,9,0
"83",420,2.06359898660187,17.1,0.41,0.66,-10.4,-0.983,77,194,0.9976,3.05,0.46,8.7,-1,8,1
"84",434,2.05810038836779,7.7,-0.96,1.58,1.4,0.608,15,102,0.9929,3.26,0.53,10.4,-1,8,1
"85",440,2.45411609356703,12.4,0.27,1.42,1.6,0.04,-47,86,1.01383,2.82,-0.22,7.8,0,7,1
"86",450,2.92842649221763,0.6,2.09,-0.56,3.6,0.054,225,16,1.01003,2.97,0.63,9.6,0,8,2
"87",453,2.19207327288591,6.7,1.21,0.28,29,0.286,21,105,0.9949,3.27,0.37,8.6,0,8,1
"88",464,6.28610689470065,-5.1,0.23,0.36,46.8,0.197,37,130,0.95194,5.1,0.43,10.1,0,7,4
"89",465,3.83109095800797,7.5,-1.17,0.32,19.8,0.036,25,124,0.9962,2.06,0.5,10.4,1,8,2
"90",466,5.96375701750703,7.3,0.3,0.29,2.1,0.048,-3,-261,0.98956,5.01,1.36,12.6,0,7,4
"91",473,2.03403414071002,6.3,1.24,0.32,-18.9,0.04,155,-287,1.02361,3.24,2.18,11.3,-1,7,1
"92",476,1.93921839660187,10.9,-0.98,-0.74,5.9,0.003,35,88,0.97137,2.88,0.46,8.4,0,7,0
"93",478,1.8671255283969,1.7,0.41,0.3,3.2,0.03,49,357,0.9927,4.44,-0.39,11.7,0,7,0
"94",479,3.13131663348646,-4,-1.1,1.35,2.4,-0.808,35,115,0.98936,3.19,0.44,18.8,-1,8,2
"95",493,2.39349644728851,0.2,0.43,0.11,1.1,0.029,-233,51,0.93069,2.57,0.48,15.5,-1,6,1
"96",497,3.23064097311155,15.9,1.05,0.35,10.7,0.551,26,239,0.9984,3.6,0.5,9.1,-1,9,3
"97",503,3.52165966437113,6.8,0.25,2.5,-2.6,0.547,92,123,0.9951,3.03,-2.71,8.6,0,7,2
"98",504,2.82902800107912,-3.2,1.92,0.42,5.5,-0.334,29,-636,0.9973,3.42,1.31,10.5,0,8,2
"99",505,2.63581034251433,6.8,0.18,0.3,138.2,-0.195,88,443,0.99808,3.6,0.8,3.6,-2,7,2
"100",507,1.49393188189675,17.5,0.34,-1.05,3.7,0.174,6,12,0.997,3.19,0.7,12.1,1,11,0
"101",513,2.28854853553133,7.2,1.74,-0.92,-41.4,0.787,46,121,1.00183,3.44,0.61,10.4,0,7,1
"102",519,2.12361137746983,9.5,0.88,1.43,6.4,0.057,25,-86,0.97526,3.21,0.45,10.5,-1,7,1
"103",521,3.38788134441922,12.7,-0.25,0.32,50.1,-0.515,-211,102,0.97956,3.41,0.79,6.1,0,7,2
"104",522,3.63784515357016,6.2,-1.09,1.68,1,0.031,198,73,0.99032,3.42,0.98,8.7,0,7,2
"105",545,2.42826991463963,9.1,0.55,0.45,23.9,0.049,-161,124,0.9974,2.11,0.5,6.1,0,7,1
"106",549,2.04332653697984,-4.4,-0.05,1.46,-9.7,0.047,46,144,0.98881,2.31,-1.28,17.9,0,7,0
"107",551,1.57435217954261,2.3,-0.03,-1.13,2.1,0.227,8,-266,1.0343,4.09,0.74,10.4,0,8,0
"108",556,6.56049715680207,0.5,0.23,0.31,-46.7,-0.286,312,96,0.98613,2.56,0.5,15.6,2,7,3
"109",557,7.82892581911154,8.4,-0.44,0.56,2.2,0.026,108,104,0.96778,3.38,-1.43,17.1,1,7,4
"110",559,1.58082233276606,6.8,0.56,0.41,-61.8,0.22,79.5,183,0.99742,2.41,0.78,4.7,-1,7,0
"111",560,2.18032507911167,10.9,1.13,0.96,1.1,0.556,286,84,0.9927,2.58,0.5,14.4,-1,7,1
"112",566,3.23963291174412,6.7,1.62,1.33,3.6,0.639,127,150,0.9968,3.22,0.51,9.9,0,7,2
"113",569,3.54121312624393,7.1,0.32,0.29,43.2,-0.1,20,31,0.99463,3.27,0.64,7.8,1,8,2
"114",573,2.25771277000487,6.6,-1.14,0.86,-7.9,0.169,-55,-193,0.99734,3.25,0.5,16.2,-1,7,1
"115",578,1.61221864104352,8.3,-0.48,0.1,67.1,0.081,45,202,0.9983,2.61,0.53,10,0,9,0
"116",579,5.11383237600404,-1.7,0.01,0.25,-49.4,-0.319,58,54,0.96419,3.27,0.5,15.5,1,8,3
"117",582,4.50796382767539,-1.7,2.38,0.24,-44.6,0.122,18,147,0.99315,3.42,0.62,10.4,1,8,3
"118",596,4.52077678505093,7.4,-1.2,-1.02,2.7,-0.355,30,107,0.98127,3.31,0.5,9.9,0,8,3
"119",598,1.68170318239685,9.2,0.19,0.46,2,0.047,16,49,0.99517,3.09,0.5,10,-1,10,1
"120",599,1.47208018626609,8,-1.14,-0.73,65.5,-0.034,41,103,0.99002,3,-0.77,16.4,-1,9,0
"121",602,2.42417849362245,0.2,0.26,0.26,-40.2,0.036,578,214,0.9986,4.65,0.5,10,0,8,1
"122",605,1.64781648150604,15.5,0.2,1.37,-42,0.015,-82,-307,0.98493,4.2,0.55,12.05,-1,6,0
"123",617,2.52134480871015,4.8,0.75,0.28,-24.8,0.134,-239,322,0.96924,3.38,0.5,11.3,-1,5,1
"124",619,5.97423444644154,8.2,0.22,0.3,1.8,0.432,-173,185,0.9933,3.08,0.5,14.4,1,9,4
"125",630,2.76856302629734,7.3,-1.09,0.26,61,0.09,7,135,0.9944,3.01,-0.89,5.6,1,8,1
"126",634,2.83197854613494,-0.4,0.21,0.41,-38.6,-0.43,14,543,0.96566,2.96,0.53,13.4,0,10,2
"127",643,1.97470301169013,7,0.87,0.4,1.1,0.058,30,93,1.02299,2.23,0.5,12,-1,8,1
"128",645,1.12353906026398,9.4,2.085,0.2,2.4,0.355,-144,143,0.97286,3.28,0.58,6.8,-1,10,0
"129",647,3.8328465382117,3.4,0.42,-0.03,2.4,0.061,19,74,0.99184,4.46,-0.27,10.9,1,7,2
"130",649,2.58757913992675,6.7,0.42,0.46,9.7,0.054,67,-228,1.00612,2.22,0.5,9,1,8,1
"131",656,3.1727756813431,7.2,0.31,0.26,3.6,0.05,37,157,0.99625,2.7,0.01,11,0,8,2
"132",657,4.278750288179,-7.1,0.23,0.56,73.15,0.063,204.5,693,1.00365,4.35,2.11,9.3,1,10,3
"133",658,2.51940245192226,6.1,-0.23,0.25,6.9,0.047,-25,21,0.9955,3.19,0.4,10.4,0,7,1
"134",667,3.95376037694905,7.4,-0.43,1.2,43.6,0.037,290,-7,0.96874,3.25,0.37,10.4,-1,8,3
"135",692,2.6286382335021,6.8,0.3,0.95,84.2,-0.409,45,150,0.94879,3.04,0.5,11.8,0,7,1
"136",693,4.52510873945361,6.6,0.88,-0.9,3.6,0.138,41,168,0.95668,3.2,1.08,8.7,0,7,3
"137",698,1.2534073729802,16.4,1.32,-0.28,41,0.315,-218,-97,0.9986,2.89,0.5,8.2,1,12,0
"138",699,3.12748916547335,7.3,1.44,2.04,12.8,-0.173,73,253,0.94876,4.19,0.71,13.6,0,8,2
"139",700,7.40372320040601,7.1,1.85,0.98,33.3,0.045,88,587,0.96586,3.16,0.5,1.4,2,8,4
"140",704,3.04669334341712,6.5,0.33,0.3,3.8,0.036,190,88,0.9442,3.25,2.01,12.5,-1,7,2
"141",707,2.63315797271418,7.2,0.92,-0.09,10.4,-0.169,-240,124,0.9459,2.96,-2.32,10.4,1,8,1
"142",708,3.72317646355405,7,-0.59,-0.62,2,0.364,10,203,0.98091,3.4,0.47,16.6,1,8,2
"143",709,2.48857027476197,6.5,0.46,0.41,16.8,0.084,-110,233,0.9923,4.41,-0.98,13.8,0,7,1
"144",713,1.20233587589673,8.9,1.84,0.51,-45.5,0.052,403,27,0.995,4.33,0.14,9.9,-1,10,0
"145",714,2.59572876498036,6.8,1.285,1.48,8.5,-0.327,10,-87,1.01657,2.67,1.97,9.5,-1,8,2
"146",716,1.78435971720427,8.2,1.42,-0.4,1.8,0.047,71,187,1.03856,3.13,0.5,16.8,-1,9,1
"147",718,3.36031394165627,6.4,0.31,0.66,18.3,-0.258,-152,101,0.9934,3.29,0.38,9,0,7,2
"148",722,3.87134588154072,19.2,1.84,0.32,-12.4,0.035,-169,-253,0.99144,2.45,0.6,12.9,0,8,3
"149",729,5.77895994554767,22.7,-0.33,2.56,-46.5,0.054,40,400,1.0338,4.73,0.5,10.8,2,7,3
"150",731,2.0936153673106,0.4,1.45,0.71,2.3,0.045,295,115,1.00802,3.17,0.43,8.8,0,9,1
"151",733,2.84352555023223,0.5,0.17,0.31,-19.7,-0.129,13,-233,0.993,2.79,0.37,9.3,0,9,2
"152",746,2.55569912631348,17.5,-0.07,-0.14,-36.2,0.317,29,113,0.99188,3.13,1.2,18.6,0,7,1
"153",747,2.84512268888295,8,0.22,0.42,-33.4,0.894,73,589,1.0003,3.81,0.69,8.6,0,9,2
"154",748,1.49329496116963,11.5,-0.6,0.73,-63,0.052,19,-16,0.9923,3.6,0.5,11.2,-1,8,0
"155",753,1.41368806019761,9.3,1.03,0.26,-33.8,0.047,-17,408,1.02106,3.29,1.99,9.8,-1,8,0
"156",757,1.44638360056325,7,0.21,-0.09,8.5,0.033,31,177,0.9953,3.22,0.56,2.3,-1,8,0
"157",763,3.12801439517992,7.8,0.16,0.25,1.4,-0.286,214,-42,0.94765,2.82,0.44,11.1,-1,7,2
"158",767,5.55075738975178,17.1,0.14,0.76,-35.6,0.625,26,-284,1.01779,3.25,0.45,18.1,1,6,3
"159",774,2.35099960994344,2.3,0.53,0.93,35.6,-0.454,-251,163,1.03814,5.76,0.83,10.3,0,7,1
"160",776,1.86304629023148,18.1,0.705,0.96,1.8,-0.213,15,63,0.99901,3,1.59,9.5,1,8,0
"161",788,1.57997064866,11.4,1.375,0.04,2,0.087,12,67,0.99565,3.61,1.61,9.4,0,8,0
"162",794,3.43227430926327,6.4,-0.21,3.19,5.3,0.409,57,-15,0.9953,3.31,1.3,9.8,0,7,2
"163",799,1.88920370241018,-15.4,0.52,0.36,35.9,0.138,41,536,0.95449,3.98,0.38,5.8,0,7,0
"164",803,4.47296952832426,16,-0.17,-0.18,-85.6,0.282,18,156,0.99666,5.03,1.84,9,0,7,3
"165",806,4.17729434405692,16.1,0.24,0.29,-61.5,-0.018,17,117,0.99411,3.36,0.68,6.9,0,8,3
"166",807,3.08174120273023,7,0.42,0.19,3.6,0.071,177,-232,0.99476,3.39,0.56,10.9,0,8,2
"167",811,4.77934423292122,6.2,0.25,1.97,-13.5,0.046,-196,831,0.99454,3.19,0.58,9.3,0,7,3
"168",816,6.08804521707417,3,-1.22,1.36,19.3,0.049,-149,124,0.95998,5.54,1.25,2.5,2,7,3
"169",818,2.78803092328733,-0.8,1.18,-0.33,-5.4,0.04,83,96,0.9912,3.06,0.61,12.1,0,9,2
"170",819,1.58933152511321,-7,-0.74,0.33,1.8,-0.298,-232,-279,1.03992,2.66,0.4,10.4,-1,7,0
"171",831,5.26658317982728,6.9,-1.17,0.38,104.1,0.039,-266,-263,0.9943,4.25,0.42,14.3,1,7,3
"172",835,4.79324752767378,1,0.23,0.33,3.6,0.049,153,183,1.04921,4.41,0.9,9.8,1,8,3
"173",837,1.58072849867886,6.3,0.25,0.44,12.1,0.041,48,-142,0.9968,3.18,0.52,9.5,-1,7,0
"174",841,2.18855876565216,19.7,-0.79,0.36,17.2,0.039,30,130,0.99946,4.36,-1.11,12.4,1,7,0
"175",846,1.49681922443184,6.3,-0.33,-0.61,3.6,0.048,35,161,1.00753,3.14,0.56,10.6,-1,8,0
"176",856,7.20134306794306,6.1,0.23,0.37,7.9,0.02,30,150,0.99488,2.86,0.49,5.4,1,7,4
"177",861,3.33862055648675,5,0.7,-1.47,14.35,0.552,-216,-82,0.9988,2.93,-0.63,12.8,1,8,2
"178",862,2.48562288446175,5.3,0.38,0.26,3.5,0.035,30,111,0.94238,3.18,0.47,14.1,2,7,0
"179",863,2.69902766455687,7.3,1.7,0.07,-0.8,-0.161,25,369,0.9948,2.66,-0.92,9.1,-1,8,2
"180",865,3.45074662399043,6.2,0.25,-2.79,-29.7,0.049,30,568,0.9972,3.19,-0.06,9.9,0,7,2
"181",871,2.36722315756226,6,0.86,1.81,-23.9,0.038,56,189.5,0.99637,3.59,0.43,10.6,-1,6,1
"182",879,1.69530973889893,7.5,-0.39,0.56,2.7,0.067,-208,25,1.02427,3.24,-1.18,13.6,0,8,0
"183",880,2.24023188364209,6.4,0.775,1.24,1.1,-0.244,44,140,1.00548,3.17,-0.34,16.7,-1,7,1
"184",881,2.59605460577359,2.8,2.74,-0.21,46.1,0.045,-12,-157,0.98664,3.45,-0.21,13.2,0,9,2
"185",885,3.33378660717587,7.6,-0.46,0.33,2,-0.459,78,483,0.97949,3.39,0.56,5.9,0,8,2
"186",887,2.30489406121393,0.4,-1.11,-1.13,14.3,-0.1,45,124,0.99816,4.08,0.63,4,0,8,1
"187",892,1.86313033151358,7.2,1.69,-0.98,-23.1,0,9,343,0.9972,2.65,0.5,9.6,1,8,0
"188",898,3.35579151779566,10.4,0.15,0.36,60.5,-0.425,-247,134,1.0164,3.28,-0.18,9.8,0,7,2
"189",900,1.28086575360402,1.5,0.16,0.27,-41.3,0.496,25,135,0.97707,4.02,-1.07,8.7,-2,8,0
"190",904,1.77074783722437,6.1,0.34,0.46,2.4,0.029,21,-215,1.02431,3.29,0.5,9.2,0,7,0
"191",906,5.39467489418905,4,-0.8,3.41,-4.8,-0.496,146,136,0.9932,3.3,0.96,9.8,1,8,3
"192",910,4.08806319107526,-4,-0.49,0.43,0.9,0.038,149,729,0.98598,3.24,0.46,10.6,0,6,2
"193",912,3.71596866918439,7.3,1.24,0.08,25,0.057,145,-166,1.04535,2.54,0.36,10.3,0,9,3
"194",913,2.31123640468636,6.8,-1.89,1.3,46.1,0.531,38,153,0.97853,3.24,-0.22,0.9,-1,7,1
"195",919,5.99727361778634,7.7,0.44,-1.1,11.2,0.031,343,167,0.97879,3.4,0.43,11.3,0,8,4
"196",924,1.50978344013157,6.9,0.2,1.88,-22.4,0.047,78,167,0.99929,3.32,0.5,12.8,-1,8,0
"197",925,2.71460700004007,11.6,0.585,0.09,61.7,-0.496,14,86,0.99264,3.64,0.94,10.4,0,6,1
"198",930,3.05818622778237,28.9,-1.28,-1.1,13.7,0.056,119,76,0.98249,2.1,0.44,8.7,-1,8,2
"199",940,1.85527841054414,7.4,0.3,0.61,-12.5,0.377,30,116,0.9953,4.27,0.59,10.4,-2,7,1
"200",941,3.04160336390441,14.7,0.3,0.52,7.5,0.05,467,191,0.99366,3.17,-1.08,6.9,1,7,1
"201",946,1.24785132020682,10.4,1.01,0.5,2.3,0.297,13,19,0.996,3.1,0.87,11.4,0,11,0
"202",949,5.11000658258883,5.8,0.6,0.22,1.3,0.046,18,66,0.99307,4.87,0.55,10.3,1,7,3
"203",951,1.52344902689276,6.1,1.76,-1.1,5,0.042,17,133,1.02882,2.55,-1.13,9.4,-1,7,0
"204",962,3.78640235588957,5.8,0.19,0.37,1.1,0.279,31,451,0.98942,3.53,0.48,11.4,0,6,2
"205",966,2.04838028161386,7.4,0.05,0.78,-56.1,0.082,258,82,0.98074,4.52,1.57,14.7,-1,8,1
"206",967,7.31567812197021,4.9,-1.14,1.25,57,-0.38,31,40,0.9849,3.33,0.44,6.433333333,0,6,4
"207",971,2.06999854836159,6.2,0.45,1.63,13.1,-0.07,3,-87,0.95659,4.52,0.76,9,1,7,0
"208",981,3.33681441060219,8,0.43,1.12,12.4,0.168,29,190,1.01594,2.41,2.3,9.2,-1,9,3
"209",982,2.44617126893437,9.4,-0.585,0.68,-16.3,0.047,3,10,0.95612,2.21,0.71,17.2,-1,10,2
"210",983,1.8330799218712,17.8,0.61,0,-55.8,0.625,168,8,0.96345,2.54,0.37,10.4,0,7,0
"211",984,2.21502973461427,6.1,0.3,0.58,119.3,0.049,258,187,0.9927,1.99,0.85,9.5,1,7,0
"212",989,1.90220181460915,11.6,1.59,0.34,1.6,0.311,33,176,0.9946,2.55,0.98,9.7,-2,10,2
"213",990,3.95938504502703,9.7,-0.18,0.29,14.4,-0.548,54,-91,0.9991,3.17,1.07,8.9,1,7,2
"214",992,2.40329036016447,12.6,-1.04,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,0,8,1
"215",995,5.3937700508053,7.4,0.18,-0.54,1.5,0.003,-159,316,0.96141,3.43,0.85,16.8,1,7,3
"216",996,1.60202575571428,0.9,0.34,0.57,3.6,-0.157,29,134,0.99462,4.04,1.1,10.7,-1,7,0
"217",998,1.27452037638316,12.6,1.62,-0.46,60.6,0.065,5,253,0.96459,3.27,3.75,11.2,-1,9,0
"218",1001,5.46873860989343,4.6,-2.56,1.41,-61.15,0.045,-86,131,1.00309,4.21,1,11.7,-1,8,4
"219",1007,1.73388909443062,6.8,-0.15,-0.24,3.8,-0.254,16,458,0.9969,3.28,1.93,9.5,0,8,0
"220",1008,2.06741923930229,-0.8,0.28,0.29,42.4,0.051,-121,124,1.06875,3.07,0.99,6,-1,7,1
"221",1016,2.32206629774102,5.9,0.51,1.3,1.4,0.141,52,119,0.9931,4.19,1.73,10.5,-1,6,1
"222",1022,2.11544723175369,6.9,0.24,0.39,55.9,-0.087,223,136,0.9928,2.66,0.5,15,-1,8,1
"223",1027,5.18904709621547,10.4,0.27,-2.71,7.6,1.228,35,432,1.03513,4.62,-0.81,16.1,1,7,3
"224",1032,2.08505866829988,9.2,-0.37,0.28,-39.5,0.043,17,-196,1.01507,3.99,0.5,13.2,1,7,0
